ENV,REP,GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
E5,1,HD3249,80,108,28,76,9.4,2.38,55,642,1528,2500,43.43
E5,1,DW1627,78,108,30,75,9.2,1.8,51,650,1170,2250,35.57
E5,1,DW1628,79,110,31,75,9.3,2.02,50,585,1182,1920,40.4
E5,1,DW1629,79,109,30,72,8.9,1.75,49,563,985,1725,35.57
E5,1,HD3184,81,111,30,68,8.7,1.65,49,504,832,1470,33.67
E5,1,HD3252,78,108,30,72,9.2,2.06,45,662,1364,2150,45.78
E5,1,DW1630,81,111,30,76,9.8,1.94,52,627,1217,2070,37.33
E5,1,HD2932,81,111,30,74,9.7,1.98,57,720,1423,2350,34.67
E5,1,DW1631,79,109,30,74,9.2,1.73,47,570,989,1800,36.91
E5,1,DW1632,81,111,30,74,9,1.93,49,621,1200,2445,39.42
E5,1,WR544,74,106,32,69,9.1,1.12,33,552,616,1726,33.82
E5,1,HD3255,80,111,31,77,8.9,1.98,49,759,1502,2508,40.21
E5,1,DW1633,81,110,29,74,9.5,1.95,50,468,914,1620,38.73
E5,1,DW1634,77,107,30,75,9.1,1.8,49,632,1138,1950,36.73
E5,1,DW1635,81,112,31,68,9.6,1.7,48,519,880,1545,35.04
E5,1,HD3090,80,111,31,72,9.3,2.01,52,618,1242,2085,38.65
E5,1,HD3262,80,109,29,75,8.7,1.75,46,602,1052,1935,38.14
E5,1,DW1636,78,111,33,73,9.2,2.24,60,705,1579,2130,37.33
E5,1,DW1637,80,109,29,73,9.7,1.9,54,571,1085,1845,35.19
E5,1,DW1638,79,108,29,74,8.9,1.71,42,564,964,1860,40.71
E5,1,DW1639,82,110,28,65,9,1.46,41,612,892,1701,35.55
E5,1,DW1640,80,108,28,66,9.4,1.46,49,730,1065,2175,29.76
E5,1,HD3318,78,107,29,73,9.5,1.99,58,630,1257,1980,34.39
E5,1,HD3265,82,108,26,67,9.7,1.95,50,516,1006,1832,39
